event,mode,band,rho_F=1,rhoS_F=1,rho_F=nu,rhoS_F=nu,rho_F=nu^2,rhoS_F=nu^2,rho_F=log(nu),rhoS_F=log(nu),rho_F=sqrt(nu),rhoS_F=sqrt(nu)
GW190519_153544,real,50-100,1.666936582252741e-15,1.0,1.2775822312346532e-13,76.64252166738675,1.014296901505905e-11,6084.795980271535,7.201741313120316e-15,4.320345110782617,1.4525809110254387e-14,8.714074227481307
GW190519_153544,real,100-200,2.6673133446357243e-15,1.0,4.1104410340962503e-13,154.10416786474764,6.525246305447553e-11,24463.741084528298,1.3394649133705566e-14,5.021775623266668,3.298263349363023e-14,12.365488876648902
GW190521,real,20-50,9.25546611212188e-16,1.0,4.041733100859204e-14,43.66860676596015,1.7870307564890489e-12,1930.7841818453373,3.4889239838643266e-15,3.769582149185209,6.1057985941134065e-15,6.596964993601615
GW190521,real,50-100,3.37809022642645e-15,1.0,2.3308421961291065e-13,68.9988141197405,1.6765311274161923e-11,4962.955442400156,1.4236635610050815e-14,4.2144035996075795,2.792017720628754e-14,8.265077406124588
GW190521,real,100-200,3.2891284159208746e-15,1.0,5.063588236197897e-13,153.94924113293453,8.086152203855834e-11,24584.483125423703,1.6501356144987934e-14,5.016938853805125,4.0613010076454876e-14,12.3476510919639
GW190828_063405,real,20-50,6.499468642003277e-16,0.9999999999999999,2.6772188975365344e-14,41.19135032416061,1.1249274841137024e-12,1730.7991561706733,2.409682061291758e-15,3.7075062501556153,4.160418966800474e-15,6.401167843034848
GW190828_063405,real,50-100,1.4231570180791057e-15,1.0,1.0859062657290746e-13,76.30263224185673,8.569025373047301e-12,6021.138401589217,6.143521411158419e-15,4.3168261359175855,1.2376739677747962e-14,8.69667894724179
GW190828_063405,real,100-200,2.8081162444745392e-15,1.0000000000000004,4.1578915502358035e-13,148.06693128951426,6.382423003048838e-11,22728.485744161673,1.3981832872311819e-14,4.9790790889884,3.401238532822004e-14,12.112171422798248
GW190828_065509,real,20-50,7.448977298491396e-16,1.0,3.0791274037182377e-14,41.336243625575804,1.2922852459780053e-12,1734.849220495981,2.7661542104811786e-15,3.7134684395418875,4.779504713740547e-15,6.416323371945994
GW190828_065509,real,50-100,2.388203451432609e-15,1.0,1.6681699212754086e-13,69.85041078785501,1.2171516007192078e-11,5096.5155417938795,1.0088049969820374e-14,4.224116652946324,1.9849298330758995e-14,8.311393369292727
GW190828_065509,real,100-200,2.9349341808616757e-15,1.0,4.436862017739207e-13,151.17415738558668,6.931055563205238e-11,23615.71039106005,1.467771707001181e-14,5.001037899154024,3.5931222325427103e-14,12.242599019674765
